,,,,BRUTO,BRUTO,LIQUIDO
,,,,sum,count,sum
ORGAO,CARGO,ANO,MES,,,
ADMINISTRACAO GERAL DO ESTADO,BENEFICIARIO DA POLICIA MILITAR - CBPM,2021,Fevereiro,346457.26000000007,47,170465.66
ADMINISTRACAO GERAL DO ESTADO,BENEFICIARIOS-PENSAO PARLAMENTAR,2021,Fevereiro,1568351.9400000018,164,1257212.2699999996
ADMINISTRACAO GERAL DO ESTADO,COMPL.APOSENTADORIA - FERROBAN (FEPASA),2021,Fevereiro,122130.92,12,65372.1
ADMINISTRACAO GERAL DO ESTADO,COMPL.PENSAO - FERROBAN (FEPASA),2021,Fevereiro,13473.47,2,4380.55
ADMINISTRACAO GERAL DO ESTADO,COMPLEM APOSENT - BANCO NOSSA CAIXA,2021,Fevereiro,199762.68000000002,29,155710.40000000002
ADMINISTRACAO GERAL DO ESTADO,COMPLEM PENSAO - BANCO NOSSA CAIXA,2021,Fevereiro,3741961.440000001,420,3080589.560000001
ADMINISTRACAO GERAL DO ESTADO,COMPLEM PENSAO-BANCO NOSSA CAIXA,2021,Fevereiro,877980.2700000001,58,460752.4299999999
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT- FUNDACAO ZOOLOGICO SAO,2021,Fevereiro,32329.670000000002,2,16400.9
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT- SEADE,2021,Fevereiro,17633.02,3,4492.7
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CDHU,2021,Fevereiro,149461.41999999998,16,72418.09
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CEAGESP,2021,Fevereiro,2223032.8699999973,240,1244618.5699999994
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CETESB,2021,Fevereiro,2564331.8799999994,206,1473455.2800000003
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CODASP,2021,Fevereiro,104163.78000000003,16,48641.05
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - COSESP,2021,Fevereiro,177067.52,20,103441.48
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - DERSA,2021,Fevereiro,1600893.4900000005,143,883405.5900000003
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - FEPASA,2021,Fevereiro,26943151.829999942,4284,14599266.050000032
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - METRO,2021,Fevereiro,444391.6300000001,28,274545.45
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - PRODESP,2021,Fevereiro,1208292.1999999995,104,699055.7099999997
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - SABESP,2021,Fevereiro,1915774.9900000002,189,933169.58
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - TERRA FOTO,2021,Fevereiro,23777.91,4,9684.43
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. IPT - EMPRESA,2021,Fevereiro,215295.53,32,65955.25
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. JUDICIAL,2021,Fevereiro,214665.09999999995,21,273221.41000000003
